src_port,dst_port,protocol,packet_length,packet_count,duration,window_size,ack_count,syn_count,rst_count,psh_count,urg_count,fin_count,flow_rate,bytes_in,bytes_out,attack_type
57446,25,6,651.1982490832124,4,1.5416196746656106,41602,0,2,0,1,0,0,81.53710691204992,1442.0198814470796,121.88774461033961,Normal
58025,25,17,568.8521988005742,6,28.507968789356028,43533,2,1,0,1,0,0,76.96070494170769,376.25901367160725,791.5500196755638,Normal
12677,443,17,393.8647761474091,10,7.758597359502013,21783,3,1,1,1,0,1,101.99971835525874,594.320628110009,432.84163178208905,Normal
23686,80,17,282.5381931188987,6,35.65320964602151,27778,5,0,0,0,0,0,96.64036538479175,1486.6086352004313,516.8640847519104,Normal
41366,22,6,148.83930546801713,6,6.097891815881622,47211,5,0,0,3,0,0,105.71010954895502,821.4955767908898,437.9809647436948,Normal
63147,25,6,388.320594239669,3,2.8352547354208975,44929,3,2,0,3,0,0,82.90514954804789,914.2658645728292,335.5662821211532,Normal
13712,22,17,871.1153435996414,5,0.416297597943452,50323,3,0,0,4,0,0,57.944468116231576,1982.6273880682088,613.4717286564971,Normal
17670,25,17,570.2297432586571,5,4.140465098113239,52834,9,1,1,2,1,0,139.21428262847286,343.0020784564301,505.5263678537912,Normal
59895,25,17,620.6684784784513,3,2.7970020366242125,14885,5,2,0,2,1,0,128.21606754886028,1191.5383738193236,641.6832772281682,Normal
34852,25,6,633.1488318908275,6,8.137369920602278,55518,3,1,0,1,0,0,97.81513262029382,1254.2843077062316,967.4046320348061,Normal
6825,22,17,589.9389746869383,10,8.634140266094347,34133,3,1,0,2,0,0,107.71622472940321,999.6064198875933,644.7857811757516,Normal
55045,80,17,1123.5932050924703,8,0.2567760954147438,8820,1,1,1,1,0,1,155.302412749616,2116.9363189797928,570.0732984270813,Normal
17988,443,6,123.04128871577257,2,1.2338039223997606,54852,1,1,0,3,0,0,85.47297781401247,1024.9285689316741,705.519432138663,Normal
42999,80,6,460.1708733871229,10,2.1789626094045,43916,2,1,0,2,0,0,101.82689821351481,490.00376647534017,851.5767470896762,Normal
12362,80,17,720.0927024227738,6,14.97954503343587,59543,5,1,0,1,0,0,118.88886525770837,1224.725447543089,480.12153661601684,Normal
52958,25,17,1001.5533157990325,7,6.82049596573356,11686,2,3,0,3,0,1,131.95681247640755,214.19319008535274,532.2263076464784,Normal
29319,25,6,807.5147106326845,7,23.682376754780904,29222,2,2,0,2,0,0,85.67854808274038,1053.395429251262,295.90842050336084,Normal
47220,443,17,569.3676753434667,6,9.876741730080221,41333,4,1,0,1,0,0,100.37777202345384,615.3035683678552,169.51172510505518,Normal
5859,25,6,599.4895297989528,9,26.99018361547118,24305,2,3,0,3,0,0,156.28512517647658,1199.3379420198473,1001.3515792664136,Normal
10884,443,6,900.1557306710774,6,2.596037254184837,38256,1,0,0,3,0,1,109.37375443293843,1235.820953575462,855.5746571023143,Normal
20222,22,6,677.2162430937977,3,4.316872615150692,55905,2,2,1,3,0,1,141.05894672597046,1089.557027101932,388.77738258439035,Normal
6593,80,17,178.05580787075758,2,1.6475990155667297,12149,3,3,0,2,0,0,120.09017646490116,-74.67866104317022,643.3129602026229,Normal
28717,443,6,1014.9696340265957,3,20.681346984880907,19774,1,1,0,3,0,0,101.05790655915186,894.5053162972185,544.623208107031,Normal
16058,25,6,659.5985825422762,5,3.1367461187854384,46052,3,1,0,2,0,0,109.33750463630608,1229.5990108805113,933.6189466591194,Normal
13223,80,17,412.654287411862,7,1.6588829258982587,6134,2,1,0,0,0,3,79.94794095090195,1019.4992351726819,627.5612668537595,Normal
48101,22,17,537.4290701898818,5,7.084849626446985,37488,3,2,0,2,0,0,122.54161370115366,725.7185711949138,578.7920470609084,Normal
2366,80,6,647.6298695463124,6,13.125513634605074,5768,4,4,0,3,0,1,143.247058619737,1306.8969740018895,587.6609154506631,Normal
8828,443,6,516.7151050725253,6,28.106166839322093,31622,4,3,0,1,0,1,150.2931193682585,815.9873385524304,578.6954206909481,Normal
56204,22,6,841.465590745496,6,2.9008369925940993,35396,4,0,0,1,0,0,86.6608732526308,1353.397212699684,912.5643737429834,Normal
40939,25,17,635.1383633245986,8,1.2017870455178419,36756,1,1,0,2,0,0,106.71652072837394,1267.363256428701,849.6226869992374,Normal
41762,22,17,722.7316694942501,5,1.5181992193138705,46231,2,0,0,1,0,0,102.19953901565212,1005.0376121758117,621.9387508182194,Normal
